Country,M49 code,Region,Confidence in estimate,combined figures (kg/capita/year),Household estimate (kg/capita/year),Retail estimate (kg/capita/year),Food service estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (tonnes/year),Food service estimate (tonnes/year),fbs_cereals_food_supply_kgcapyr,fbs_domestic_supply_qty,fbs_export_qty,fbs_fat_gcapday,fbs_feed,fbs_food_supply_kcalcapday,fbs_food_supply_kgcapyr,fbs_fruits_food_supply_kgcapyr,fbs_import_qty,fbs_losses,fbs_meat_food_supply_kgcapyr,fbs_milk_dairy_food_supply_kgcapyr,fbs_population,fbs_processing,fbs_protein_gcapday,fbs_residuals,fbs_seed,fbs_stock_variation,fbs_tourist_consumption,fbs_vegetables_food_supply_kgcapyr,cp_food_cpi,cp_general_cpi,cp_food_general_gap,qcl_area_harvested_total,qcl_production_cereals,qcl_production_fruits,qcl_production_meat,qcl_production_milk,qcl_production_roots_tubers,qcl_production_total,qcl_production_vegetables,qcl_yield_avg,ti_export_qty_idx,ti_export_uv_idx,ti_export_val_idx,ti_import_qty_idx,ti_import_uv_idx,ti_import_val_idx,ti_val_idx_gap
North Macedonia,807,Southern Europe,Very Low Confidence,127,83,16,28,172480,32586,57605,311.1033333333334,6652.333333333333,1060.3333333333333,331717.1966666666,1168.3333333333333,9611563.573333332,2181.1600000000003,230.87333333333333,2320.3333333333335,311.3333333333333,94.06,380.15333333333336,1873.59,741.0,282583.2766666667,33.0,109.66666666666667,64.33333333333333,,638.9733333333334,104.08681291666666,105.32427630555556,-1.237463388888898,660312.6666666666,1215836.1666666667,962324.7166666667,75593.40333333334,1014536.6,187922.66666666666,5599632.016666667,1308295.4466666668,7212.2129629629635,3525.595463515519,132.70651226674246,283.4543795620438,167.57793503901289,106.87835238613683,154.45816993464052,-128.9962096274033
Northern Mariana Islands,580,Micronesia,Low Confidence,118,79,13,26,4501,733,1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,578,Northern Europe,Medium Confidence,98,79,14,5,423857,74088,26685,332.18666666666667,27394.0,7508.666666666667,1088791.93,5868.666666666667,27692532.069999997,2168.9233333333336,258.76666666666665,18537.333333333332,361.3333333333333,142.25333333333333,392.32,5378.363333333334,2569.0,1017357.6200000001,-384.3333333333333,205.0,394.0,,322.3333333333333,107.84444444444443,113.0111111111111,-5.166666666666671,621734.3333333334,2804413.123333333,44812.666666666664,978675.4933333335,3837031.9233333333,354100.0,10478547.176666668,295502.44,17565.14981203007,27631.925087983913,170.85139098374393,468.43635137946177,128.12403100775194,109.63953488372094,125.70006644518271,-342.73628493427907
Oman,512,Western Asia,Low Confidence,134,95,13,26,470297,63736,127213,262.36999999999995,13687.666666666666,4848.0,633977.33,2948.3333333333335,20272769.12,2193.86,256.0833333333333,14044.0,299.3333333333333,96.86666666666667,668.5133333333333,4538.053333333333,217.33333333333334,614572.43,-480.0,2.0,469.6666666666667,,521.57,100.95295838888889,104.43788683333334,-3.4849284444444493,139150.66666666666,415040.8433333333,633109.6666666666,359631.51666666666,655942.3066666668,14791.333333333334,4753525.953333333,1679350.3333333333,24747.337575757574,73675.37713616808,173.11953117742476,10873.249368033876,509.6922972470082,121.47903467955494,386.6323270322928,-10486.617041001584
Pakistan,586,Southern Asia,Very Low Confidence,118,74,16,28,15947645,3387131,5987614,255.53333333333333,462363.0,19818.0,30914284.23666667,22767.666666666668,873630845.7033335,834.7000000000002,60.580000000000005,25195.0,34498.666666666664,39.61666666666667,253.7733333333333,235093.4833333333,190838.66666666666,24854481.53,-1940.3333333333333,18157.666666666668,5648.0,,74.89333333333333,136.87296975,138.0172181111111,-1.1442483611110958,49597678.333333336,96056236.11666667,15053379.666666666,15310058.79,118689360.25666666,5113501.0,478930828.33,9663585.666666666,7291.1777338811635,3759.356774345708,215.0330670894051,1006.1494028070998,736.8968180473563,102.32043557956796,275.18907867494823,-730.9603241321515
Palau,585,Micronesia,Low Confidence,118,79,13,26,1416,231,460,,,,,,,,,,,,,,,,,,,,,106.50949075,103.53800772222222,2.9714830277777793,,,,,,,,,,14554.766666666668,328.28888888888895,19099.355555555554,11016.269506597819,163.7169152801683,5305.5339931153185,-13793.821562440236
Panama,591,Latin America and the Caribbean,Low Confidence,113,74,13,26,313897,54402,108582,396.6333333333334,13906.0,1618.3333333333333,655596.0066666667,1671.6666666666667,19064957.55,1444.2766666666664,187.74666666666667,4297.333333333333,291.0,164.73999999999998,112.03666666666668,4291.12,3745.3333333333335,599934.6933333335,620.0,100.66666666666667,287.3333333333333,,98.21666666666665,100.87268074999999,101.52520747222222,-0.652526722222234,714102.3333333334,1298540.3333333333,1912197.3333333333,879563.0433333333,546222.8966666667,75619.0,11097712.87,158573.33333333334,12852.432222222224,857.052512984092,263.0041303725514,1422.8096836419754,235.78919160964415,270.65565630699336,184.6446188964051,-1238.1650647455704
Papua New Guinea,598,Melanesia,Very Low Confidence,135,91,16,28,798767,137260,242642,158.74666666666667,22277.333333333332,2443.3333333333335,924298.5133333333,139.66666666666666,31378370.820000004,1419.1299999999999,444.5566666666667,2431.6666666666665,1241.6666666666667,115.34999999999998,15.183333333333332,9812.553333333335,7036.0,898161.9066666667,-92.0,2.0,-118.0,,115.16000000000001,115.82679605555556,128.08124719444444,-12.254451138888882,2628261.3333333335,357462.57,8007432.646666666,1059900.3133333332,407.60999999999996,1279041.3933333333,18591477.516666666,911268.3366666666,4857.9353846153845,14838.154568579566,146.2202380952381,12801.494546194546,992.3536274508698,202.18762174780557,229.4818232623811,-12572.012722932166
Paraguay,600,Latin America and the Caribbean,Very Low Confidence,116,72,16,28,510256,110179,194770,294.90000000000003,43259.333333333336,22952.0,892310.64,11819.666666666666,29945515.356666666,1569.84,168.5566666666667,2012.3333333333333,3390.0,82.76333333333334,133.35,6600.993333333333,11654.333333333334,730964.85,-317.3333333333333,608.0,405.3333333333333,,161.28333333333333,122.28744327777777,118.44692544444445,3.8405178333333225,15877866.333333334,15539587.040000001,1789523.7299999997,1895943.2,1062405.6733333336,3421412.3333333335,65589470.193333335,287767.1933333333,8233.068292682927,367.3950522849894,132.53139932385216,317.2891799012743,763.8467702645135,95.95843034739165,1212.7206359948295,895.4314560935552
Peru,604,Latin America and the Caribbean,Very Low Confidence,116,72,16,28,2354806,508472,898853,312.39000000000004,103215.0,19012.0,3250219.973333333,14109.666666666666,136563986.56666666,1529.1133333333335,251.08,20649.333333333332,9248.0,109.39,174.13,32814.58666666667,25217.666666666668,4288429.180000001,-559.6666666666666,1681.3333333333333,-280.3333333333333,,130.95000000000002,110.19505091666667,113.80030455555556,-3.6052536388888825,6524661.0,12629135.846666666,15084469.093333334,6421909.463333334,5561353.83,7139406.736666667,103113516.52333333,4198251.916666667,9881.374867724868,9450.01765977625,108.75881564797925,2362.3083240092124,412.8705878690912,112.89903997915023,209.2245831812097,-2153.0837408280026
